title,label,ai_category,ai_reason,extracted_salary,extracted_pos
"CÔNG TY BẢO VỆ HOÀNG GIA ĐẠI LỘC
CẦN TUYỂN  GẤP 05 NHÂN VIÊN BẢO VỆ
* Đường Quảng Nam Hoà Quý - Đà Nẵng 
- Ca : 12 / 24 ( hoặc 24/24 )
Lương 6.500.000 / 1 tháng
Độ tuổi 20-60t
Địa chỉ nộp hồ sơ: Số 26 Tôn Đức Thắng , Thành Phố Đà Nẵng.
#Hotline liên hệ:  
 0905781599 Mr Chinh
 0904894443  Văn Phòng Tuyển Dụng.",1,RECRUITMENT,"Công ty có tên thương hiệu rõ ràng (Hoàng Gia), địa chỉ cụ thể (Số 26 Tôn Đức Thắng, Đà Nẵng), mức lương hợp lý",6.500.000 / tháng,Nhân viên bảo vệ
"Tuyển gấp
- 1 nhân viên giao hàng xe tải nhỏ 
- 3 nhân viên giao hàng bằng xe máy
*Công việc: Giao hàng quanh thành phố 
Thời gian làm việc:Sáng 7h30-12h00
Chiều 13h30-17h30.  Chiều chủ Nhật nghĩ. Xăng xe công ty.
Lương 7.5 triệu-9 triệu.
Đóng bảo hiểm xã hội theo quy định. Thưởng lễ và lương tháng 13. 
Yêu cầu: tuổi từ 18-30t, có bằng lái xe 
Làm việc ở : 07 Phạm Xuân Ẩn Hoà Xuân Cẩm lệ Đà Nẵng 
Liên hệ :0973.444.034",1,RECRUITMENT,"Địa chỉ cụ thể (Số nhà + Tên đường + Phường + Quận), mức lương hợp lý, có thông tin liên hệ rõ ràng",7.5 triệu - 9 triệu,"Nhân viên giao hàng xe tải nhỏ, nhân viên giao hàng bằng xe máy"
"NHÂN VIÊN FULL-TIME & PART-TIME
Vị trí tuyển dụng:
⦁ 05 Nhân viên phục vụ Full-time hoặc xoay ca
(Chọn 1 trong 3 khung giờ làm việc dưới đây)
Thời gian làm việc:
⦁ Ca sáng: 09h30 – 14h00
⦁ Ca tối: 16h00 – 21h
⦁ Full ngày: 10h00 – 20h30 (có nghỉ giữa ca 2 tiếng)
Quyền lợi:
⦁ Tháng nghỉ 2 ngày có lương, 1 bữa ăn trưa (áp dụng fulltime)
⦁ Môi trường làm việc thân thiện, văn minh
⦁ Cơ hội nâng cao kỹ năng phục vụ và làm việc nhóm
Mô tả công việc:
- Vệ sinh & chuẩn bị khu vực phục vụ khách
- Đón tiếp & phục vụ khách 
- Chăm sóc trong & sau bữa ăn
- Check công việc cuối ca
Yêu cầu:
⦁ Có kinh nghiệm phục vụ là một lợi thế
⦁ Cẩn thận, trung thực, nhanh nhẹn, sạch sẽ
⦁ Có khả năng giao tiếp tiếng Anh cơ bản trong dịch vụ nhà hàng
⦁ Ưu tiên các bạn có lối sống lành mạnh, ăn chay hoặc yêu thích ẩm thực chay
---
Nhà Hàng Chay Vana Vegan 
Địa chỉ: 65-67 Trung Lương 18, P. Hoà Xuân, Q. Cẩm Lệ, TP. Đà Nẵng",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường + Tên phường + Quận + Thành phố), công việc cụ thể, mức lương không được đề cập nhưng có thể xác định qua mô tả công việc",,Nhân viên phục vụ
"🎁 Noel mang đến niềm vui còn PHOENIX REALTY thì mang đến cơ hội để bạn tỏa sáng trên hành trình sáng tạo.
Chúng mình tìm kiếm 01 BẠN MARKETING và 05 BẠN NHÂN VIÊN KINH DOANH để đồng hành trong các dự án.
✨ Bạn là mảnh ghép phù hợp nếu:
1. MKT
• Có kinh nghiệm chạy quảng cáo FB/GG cơ bản trở lên.
• Biết thiết kế hình ảnh bằng Canva/PTS hoặc các công cụ tương đương.
• Biết edit video bằng CapCut, AE hoặc phần mềm tương tự.
2. NVKD
• Có kinh nghiệm sale ở các lĩnh vực
• Giao tiếp tốt
✨  Phoenix có gì?
• Hỗ trợ data và chạy qcao MKT đối với NVKD
• BHXH, Lương tháng 13, thưởng lễ, Tết đầy đủ
• Team building, du lịch,...
• Nước uống giải khát (trà, cf, nước ngọt, sữa,...) miễn phí
✨ Giáng Sinh này, hãy trao cho mình cơ hội để bứt phá cùng PHOENIX REALTY tại 33 Hóa Sơn 10, ĐN!
Liên hệ: 0702.391.520 - Ms Lành hoặc nộp CV về phoenixproperty.hr@gmail.com",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý","tháng 13, thưởng lễ, Tết đầy đủ","BẠN MARKETING, NHÂN VIÊN KINH DOANH"
"🆘 CỌP BILLIARDS TUYỂN DỤNG 🆘
🌿 15 Nam/Nữ Phục vụ
🌿 02 Thu ngân
⏰ Thời gian làm việc
 • Nữ: 12h–18h • 18h–24h
 • Nam: 08h–18h • 18h–1h • 21h–sáng • Ca gãy 21h–3h
 • Thu ngân: 08h–18h • 18h–24h
💰 Lương: 20k – 30k/giờ (tùy vị trí & năng lực)
✨ Yêu cầu: Trên 18 tuổi, chăm chỉ, có trách nhiệm.
📞 Liên hệ: Chị Dịu – 0375 272 799
📍 CỌP BILLIARDS
57 Mai Thúc Lân – Đà Nẵng
31 Bà Huyện Thanh Quan – Đà Nẵng
🙏 Cảm ơn admin đã duyệt bài!",1,RECRUITMENT,"Có địa chỉ cụ thể (Số nhà + Tên đường), công việc rõ ràng, mức lương hợp lý","20k – 3,0k/giờ","Phục vụ, Thu ngân"
"Pat Kids Milktea & Coffee (Khu vực FPT)
Ngã 4 Trần Quốc Vượng giao Song Hào cần tuyển
 👉Nhân viên pha chế xoay ca (Làm lâu dài)
 Ca sáng: 6h - 12h
 Ca chiều: 12h - 17h
 Ca tối: 17h - 22h
👉Yêu cầu: Làm lâu dài. Lanh lẹ, chịu khó, trung thực
 Làm được các dịp lễ và Tết
👉Liên hệ: 0702757181",1,RECRUITMENT,"Địa chỉ cụ thể (Ngã 4 Trần Quốc Vượng giao Song Hào) và tên thương hiệu rõ ràng (Pat Kids Milktea & Coffee), công việc cụ thể, yêu cầu rõ ràng",,Nhân viên pha chế
"Cần tuyển các vị trí sau:
Ca 6h_15h: 01 nữ đứng bán
Ca 5h_10h: 01 nữ hoặc sinh viên phụ
✅️Lương thỏa thuận
✅️Yêu cầu: tuổi từ 25_45, nhanh nhẹn, chịu khó
✅️Tháng được nghỉ ngày rằm và m1
✅️Lương tháng 13 và trợ cấp bhyt  (làm đủ năm)
☎️0937827646 _ 0909514686. Liên hệ trao đổi cv
Đc: HỞ TRẦN _đường Song Hào, p hòa hải, ngũ hành sơn (Sau chung cư FPT)
(Nhờ ad duyệt bài giúp ạ. Em cảm ơn)",1,RECRUITMENT,"Địa chỉ cụ thể (Tên đường + Phường + Quận), yêu cầu rõ ràng, có thông tin liên hệ",Thỏa thuận,"Đứng bán, phụ"
"🌊 TUYỂN DỤNG SIÊU HOT TẠI ĐÀ NẴNG!
💼 Làm việc 7h/ngày – View biển sang chảnh – Thu nhập vượt mong đợi!
NHÀ HÀNG HẢI SẢN CAO CẤP ĂN THÔI (290 Võ Nguyên Giáp – mặt biển Đà Nẵng) đang mở rộng đội ngũ và tìm kiếm những bạn trẻ năng động, tinh thần tốt và yêu môi trường dịch vụ.
⭐ LÀM VIỆC TẠI ĐÂY, BẠN NHẬN ĐƯỢC GÌ?
• Không gian làm việc đẹp + thoáng + tinh thần luôn tươi mới.
• Thu nhập ổn định: lương cứng + tips cao + thưởng theo năng lực.
• Cơ hội tiếp xúc khách quốc tế → cải thiện ngoại ngữ mỗi ngày.
• Làm việc trong môi trường chuyên nghiệp, trẻ trung.
🎯 CÁC VỊ TRÍ TUYỂN DỤNG FULL-TIME (7H/NGÀY)
1. Phục Vụ (Server) – 19 người
  Lương: Từ 5.5 triệu/tháng
2. Tiếp Thực (Runner) – 8 người
  Lương: 5.5 triệu/tháng
3. Lễ Tân (Receptionist) – 3 người
  Yêu cầu: Ngoại hình ưa nhìn + Tiếng Anh/Hàn cơ bản
  Lương: Từ 5.5 triệu/tháng
4. Pha Chế – 4 người
  Lương: Từ 5.5 triệu/tháng
🕘 PART-TIME – RẤT PHÙ HỢP CHO SINH VIÊN!
💵 Lương: 28.000 VNĐ/giờ
• Giờ giấc linh hoạt
• Môi trường thân thiện
• Tăng ca theo nhu cầu
📩 NỘP HỒ SƠ NGAY – ƯU TIÊN ỨNG VIÊN SỚM
📞 Zalo/Call (HCNS): 0795.718.374
 📧 Email: hr.vietnamtreasure@gmail.com
👉 Hãy để lại bình luận “FULL-TIME” hoặc “PART-TIME” để được tư vấn nhanh hơn!",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý",5.5 triệu/tháng,"Phục vụ, Tiếp thực, Lễ tân, Pha chế, Part-time"
"NHÀ HÀNG CÁ LỬA TUYỂN DỤNG
❌ 1 GIÁM SÁT 
- lương thỏa thuận 
- chế độ đầy đủ 
❌ 20 NỮ CSKH & LỄ TÂN 
-lương trung bình 20-30tr/1 tháng 
- có xếp lịch xoay ca cho sinh viên 
❌ 10 PHỤC VỤ NỮ 
- Lương 6Tr / 1 tháng 
- có xếp lịch xoay ca cho sinh viên 
✅ QUYỀN LỢI : 
-Tháng off 2 ngày 
-Phụ cấp hàng tháng
-Hỗ trợ cơm ca
-Thưởng lễ đầy đủ
LH: ☎️ 0797436886 - 0337931069 ( Chi )
Địa Chỉ : Lô 01.A11.4 Khu công viên Bắc đài Tưởng Niệm ( đường Bạch Đằng nối dài )",1,RECRUITMENT,"Địa chỉ cụ thể (Lô 01.A11.4 Khu công viên Bắc đài Tưởng Niệm ( đường Bạch Đằng nối dài )) và tên nhà hàng rõ ràng (Cá Lửa), có thông tin liên hệ (số điện thoại), mức lương hợp lý cho từng vị trí",6 triệu,Phụ vụ nữ
"Siêu thị FULL MARKET chi nhánh đường NAM KỲ KHỞI NGHĨA (gần khu đô thị FPT) & chi nhánh đường LoseBy
Tuyển nhân viên Ca đêm (22h-6h) (Nam)
Lương : 5tr6+pc
Thử việc 1 tháng
Yêu cầu : Trung thực, cẩn thận, chăm chỉ, sức khỏe tốt, biết một chút Tiếng Anh.
Ưu tiên làm lâu dài, hộ khẩu Quảng Nam - Đà Nẵng
Ứng tuyển inbox trực tiếp, hoặc nt qua zalo  0898808567 (không gọi) (cung cấp thông tin cơ bản, kinh nghiệm làm việc hoặc CV), KHÔNG nhận tn từ nick ảo.",1,RECRUITMENT,"Có địa chỉ cụ thể (đường NAM KỲ KHỞI NGHĨA, gần khu đô thị FPT) và tên thương hiệu rõ ràng (FULL MARKET), yêu cầu cung cấp thông tin cơ bản, kinh nghiệm làm việc hoặc CV, không nhận tin từ nick ảo",5 triệu 600 nghìn,Nhân viên Ca đêm
"NHÀ HÀNG BẾP QUÊ TUYỂN DỤNG
   ❌ Thu Ngân 17h -24h 
❌ 10 NỮ CSKH & LỄ TÂN 
-lương trung bình 10tr-15tr/1 tháng 
- có xếp lịch xoay ca cho sinh viên 
❌  5 PHỤC VỤ NỮ 
- Lương 5,5tr/ 1 tháng 
- có xếp lịch xoay ca cho sinh viên 
✅ QUYỀN LỢI : 
-Tháng off 2 ngày 
-Phụ cấp hàng tháng
-Hỗ trợ cơm ca
-Thưởng lễ đầy đủ
LH: ☎️ 0784349114 ( TUẤN)
Địa Chỉ : 179 Chương Dương , Ngũ Hành Sơn , Đà Nẵng",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường + Quận), công việc cụ thể, mức lương hợp lý","10tr-15tr/1 tháng và 5,5tr/1 tháng","Thu Ngân, Nhân viên CSKH & Lễ Tân, Phụ vụ nữ"
"LEAFY KITCHEN TUYỂN DỤNG
* Địa chỉ : K72 /20 Nguyễn Văn Thoại , ĐN
Leafy Kitchen mở rộng , cần tuyển nhân sự :
-Nhân viên nữ : 18 -25t 
+Pha chế , phụ việc vặt quán ăn  bán mang đi .
 1.  ca 7h-12h 
2. ca 12h -17h 
3. ca 17h -21h 
Phụ bếp 9h -17h (sơ chế + chế biến các món đơn giản mang đi ) ưu tiên những bạn mới ra trường ưa học hỏi., ko yêu cầu kn .Sẽ được training .
-Lương :
+ Đối với nv pha chế ,phụ việc  thử việc 20k/h tháng đầu , tháng thứ 2 trở đi 22k/h 
+Phụ bếp lương thoả thuận. 
- Trợ cấp tiền ăn 25k/ ca , tháng được off 4 ngày tuỳ chọn .
- Tăng lương tuỳ theo năng lực , có thưởng doanh thu + tip. 
Lễ tết x2 ,x3 ngày lương.
Môi trường làm việc hoà đồng, năng động, chủ siêu dễ thương . 
Các bạn LH fb hoặc qua zalo 0328337220",1,RECRUITMENT,"Địa chỉ rõ ràng (Số nhà + Tên đường), công việc cụ thể, mức lương hợp lý",22k/h,"Nhân viên pha chế, phụ việc vặt, phụ bếp"
"Cần tuyển gấp nhân viên tạp vụ làm tại Tòa nhà chung cư Time Square (đường Phạm Văn Đồng- Sơn Trà - Đà Nẵng)
👉 Nữ có độ tuổi từ 25 đến 60 
👉 Có sức khỏe, nhanh nhẹn           
👉 Thời gian làm việc:  Giờ hành chính hoặc ca thẳng.
✳️Lương 5tr  + Chế độ thưởng lễ, Tết, BHYT đầy đủ,.
☎️  0905705277",1,RECRUITMENT,"Địa chỉ rõ ràng (Tòa nhà chung cư Time Square, đường Phạm Văn Đồng- Sơn Trà - Đà Nẵng), yêu cầu cụ thể về độ tuổi, sức khỏe, thời gian làm việc, mức lương hợp lý và có số điện thoại liên hệ",5 triệu,Nhân viên tạp vụ
"☕️ TUYỂN NHÂN VIÊN NỮ PHỤC VỤ QUÁN CÀ PHÊ
📍 Địa chỉ: Ngã 4 Nam Kì Khởi Nghĩa và Trần Đại Nghĩa
⏰ Thời gian làm việc
Ca sáng 7h - 12h.
Ca tối: 5h30 đến hết khách (khoảng 22h-22h30)
Xoay ca linh hoạt, xếp ca theo time rảnh
👉 Yêu cầu:
 • Nhanh nhẹn, trung thực, vui vẻ
 • Không cần kinh nghiệm, sẽ được đào tạo
☎️Sdt: 0796905462 (zalo)",1,RECRUITMENT,"Địa chỉ cụ thể (Ngã 4 Nam Kì Khởi Nghĩa và Trần Đại Nghĩa), công việc rõ ràng, không yêu cầu Inbox riêng, mức lương không được đề cập nhưng có thể hợp lý",,Phụ vụ
"[Hệ thống 𝐌𝐲̃ 𝐏𝐡𝐚̂̉𝐦 - 𝐋𝐚̀𝐦 Đ𝐞̣𝐩 ] 
TÌM NGƯỜI LÀM 
🌷𝐕𝐢̣ 𝐭𝐫𝐢́: Bán Hàng
📝 𝐌𝐨̂ 𝐭𝐚̉ 𝐜𝐨̂𝐧𝐠 𝐯𝐢𝐞̣̂𝐜:
   - Chào đón, hỗ trợ khách hàng
   - Dọn dẹp, giữ vệ sinh nơi làm việc
   - Tư vấn sản phẩm
💎 𝐓𝐡𝐮 𝐧𝐡𝐚̣̂𝐩:
   - Parttime: 4.500.000 Vnđ / tháng
   - Fulltime: 9.000.000 Vnđ / tháng
   (Thưởng quý, lễ, Tết x 4 thu nhập)
🧧𝐐𝐮𝐲𝐞̂̀𝐧 𝐥𝐨̛̣𝐢:
   - Có hỗ trợ xoay ca
   - Chế độ, ngày lễ, tết, phép, du lịch…
   - Đảm bảo cơ hội thăng tiến, phát triển. 
   - Off 1 ngày bất kỳ trong tuần.
   - Ưu đãi giảm giá mua sản phẩm.
🌈𝐂𝐡𝐢 𝐍𝐡𝐚́𝐧𝐡 
✨ Hoà Cường - Cẩm Lệ - Hoà Khánh - Liên Chiểu - Vĩnh Điện - Hội An - Tam Kỳ 
📌𝐘𝐞̂𝐮 𝐜𝐚̂̀𝐮 𝐜𝐨̂𝐧𝐠 𝐯𝐢𝐞̣̂𝐜: 
✅Đủ 22-45 tuổi ( ưu tiên những bạn có ngoại hình)
✅Siêng năng, trung thực, trách nhiệm
❗Không yêu cầu kinh nghiệm, sẽ được đào tạo
☎ Để biết thêm thông tin công việc, vui lòng Inbox trực tiếp hoặc  - 0878127189.(QLNS)",0,RECRUITMENT,"Không có địa chỉ cụ thể (chỉ ghi 'Khu vực Cẩm Lệ', 'Tại Đà Nẵng'), yêu cầu Inbox trực tiếp mà không có số điện thoại liên hệ","4.500.000 Vnđ/tháng (Parttime), 9.000.000 Vnđ/tháng (Fulltime)",Bán Hàng
